timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2025-09-26 07:52:34,99.72,394.2,38.50,471,healthy
2025-09-26 07:52:40,14.32,826,80.66,37,healthy
2025-09-26 07:52:46,0.01,30,2.93,24,healthy
2025-09-26 07:52:52,0.01,30.09,2.94,24,healthy
2025-09-26 07:52:58,103.42,464.2,45.33,197,healthy
2025-09-26 07:53:04,107.93,971.2,94.84,266,unhealthy
2025-09-26 07:53:10,104.51,211.7,20.67,90,healthy
2025-09-26 07:53:16,0.01,623.3,60.87,55,healthy
2025-09-26 07:53:22,8.10,623.4,60.88,26,healthy
2025-09-26 07:53:27,103.25,865.8,84.55,250,healthy
2025-09-26 07:53:33,0.01,31.7,3.10,25,healthy
2025-09-26 07:53:39,0.01,31.77,3.10,27,healthy
2025-09-26 07:53:45,102.15,601.7,58.76,322,healthy
2025-09-26 07:53:50,83.79,132.4,12.93,55,healthy
2025-09-26 07:53:56,1.21,658.6,64.32,24,healthy
2025-09-26 07:54:02,0.02,658.7,64.33,87,healthy
2025-09-26 07:54:08,91.05,744.2,72.68,71,healthy
2025-09-26 07:54:13,0.02,31.57,3.08,25,healthy
2025-09-26 07:54:19,0.01,31.65,3.09,25,healthy
2025-09-26 07:54:25,103.29,346.4,33.83,382,healthy
2025-09-26 07:54:31,101.43,233.6,22.81,18,unhealthy
2025-09-26 07:54:36,101.05,424.4,41.45,121,healthy
2025-09-26 07:54:42,9.90,638.5,62.35,24,healthy
2025-09-26 07:54:48,9.47,638.5,62.35,28,healthy
2025-09-26 07:54:53,104.03,999.3,97.59,23,unhealthy
2025-09-26 07:54:59,104.81,453.6,44.30,132,healthy
2025-09-26 07:55:05,5.77,553.6,54.06,25,healthy
2025-09-26 07:55:11,7.68,553.6,54.06,24,healthy
2025-09-26 07:55:17,101.31,816.6,79.75,188,healthy
2025-09-26 07:55:22,10.26,31.77,3.10,24,healthy
2025-09-26 07:55:28,0.01,31.83,3.11,25,healthy
2025-09-26 07:55:34,47.58,113,11.04,89,healthy
2025-09-26 07:55:39,105.86,788.9,77.04,131,healthy
2025-09-26 07:55:45,1.55,31.71,3.10,115,healthy
2025-09-26 07:55:51,49.40,623.4,60.88,24,healthy
2025-09-26 07:55:57,0.01,623.5,60.89,25,healthy
2025-09-26 07:56:02,0.01,623.5,60.89,74,healthy
2025-09-26 07:56:08,102.02,607.5,59.33,16,unhealthy
2025-09-26 07:56:14,0.01,31.65,3.09,24,healthy
2025-09-26 07:56:20,56.90,113.1,11.04,165,healthy
2025-09-26 07:56:26,100.56,811.9,79.29,217,healthy
2025-09-26 07:56:30,14.55,31.48,3.07,26,healthy
2025-09-26 07:56:36,0.01,46.82,4.57,25,healthy
2025-09-26 07:56:42,0.01,46.84,4.57,25,healthy
2025-09-26 07:56:48,100.89,459.4,44.86,370,healthy
2025-09-26 07:56:53,0.00,23.82,2.33,26,healthy
2025-09-26 07:56:59,9.60,31.61,3.09,24,healthy
2025-09-26 07:57:05,113.41,194.5,18.99,255,healthy
2025-09-26 07:57:11,101.53,879.4,85.88,454,healthy
2025-09-26 07:57:17,1.95,41.63,4.07,24,healthy
2025-09-26 07:57:23,103.42,518.5,50.63,192,healthy
2025-09-26 07:57:28,0.01,613.4,59.90,24,healthy
2025-09-26 07:57:34,7.89,613.5,59.91,116,healthy
2025-09-26 07:57:40,27.60,31.4,3.07,25,healthy
2025-09-26 07:57:45,101.04,374.5,36.57,90,healthy
2025-09-26 07:57:51,101.23,999.7,97.63,20,unhealthy
2025-09-26 07:57:57,0.01,31.55,3.08,24,healthy
2025-09-26 07:58:03,193.22,67.65,6.61,511,healthy
2025-09-26 07:58:09,103.62,685.3,66.92,260,healthy
2025-09-26 07:58:15,0.02,31.49,3.08,25,healthy
2025-09-26 07:58:20,0.01,41.78,4.08,25,healthy
2025-09-26 07:58:26,0.01,41.79,4.08,42,healthy
2025-09-26 07:58:32,101.66,369.1,36.04,114,healthy
2025-09-26 07:58:37,101.33,997,97.36,26,unhealthy
2025-09-26 07:58:43,0.02,31.55,3.08,28,healthy
2025-09-26 07:58:49,86.62,143.4,14.00,305,healthy
2025-09-26 07:58:55,103.41,872.2,85.18,84,healthy
2025-09-26 07:59:01,0.02,31.45,3.07,126,healthy
2025-09-26 07:59:07,4.83,52.07,5.08,165,healthy
2025-09-26 07:59:13,101.88,708.1,69.15,409,healthy
2025-09-26 07:59:19,0.93,31.43,3.07,25,healthy
2025-09-26 07:59:24,0.01,31.61,3.09,25,healthy
2025-09-26 07:59:30,0.01,31.62,3.09,27,healthy
2025-09-26 07:59:36,101.37,495.8,48.42,121,healthy
2025-09-26 07:59:41,0.00,16.97,1.66,26,healthy
2025-09-26 07:59:47,8.81,31.51,3.08,24,healthy
2025-09-26 07:59:53,101.89,253.9,24.79,154,healthy
2025-09-26 07:59:59,100.29,920.4,89.88,115,healthy
2025-09-26 08:00:05,0.02,31.38,3.06,91,healthy
2025-09-26 08:00:11,78.74,67.36,6.58,296,healthy
2025-09-26 08:00:17,87.95,661.1,64.56,24,healthy
2025-09-26 08:00:23,103.00,993.2,96.99,40,unhealthy
2025-09-26 08:00:29,0.02,31.5,3.08,26,healthy
2025-09-26 08:00:34,36.12,92.41,9.02,83,healthy
2025-09-26 08:00:40,109.40,719.6,70.27,253,healthy
2025-09-26 08:00:46,0.01,31.43,3.07,25,healthy
2025-09-26 08:00:52,0.01,31.59,3.08,24,healthy
2025-09-26 08:00:58,103.08,420.1,41.03,320,healthy
2025-09-26 08:01:06,117.12,955.7,93.33,196,healthy
2025-09-26 08:01:11,102.54,348,33.98,111,healthy
2025-09-26 08:01:17,101.36,904.4,88.32,186,healthy
2025-09-26 08:01:23,0.01,31.49,3.08,25,healthy
2025-09-26 08:01:29,0.01,31.57,3.08,183,healthy
2025-09-26 08:01:35,101.43,699.6,68.32,206,healthy
2025-09-26 08:01:40,0.01,31.48,3.07,26,healthy
2025-09-26 08:01:46,0.01,31.57,3.08,24,healthy
2025-09-26 08:01:52,102.87,500.3,48.86,176,healthy
2025-09-26 08:01:57,0.00,24.14,2.36,27,healthy
2025-09-26 08:02:03,19.84,31.55,3.08,27,healthy
2025-09-26 08:02:09,81.70,137.9,13.47,178,healthy
2025-09-26 08:02:15,102.45,800.3,78.15,98,healthy
2025-09-26 08:02:20,0.01,905.2,88.40,24,healthy
2025-09-26 08:02:26,0.01,905.3,88.41,24,healthy
2025-09-26 08:02:32,65.69,93.66,9.15,157,healthy
2025-09-26 08:02:38,101.99,784.5,76.61,120,healthy
2025-09-26 08:02:43,0.02,874.5,85.40,26,healthy
2025-09-26 08:02:49,0.01,874.5,85.40,160,healthy
2025-09-26 08:02:55,0.02,31.48,3.07,25,healthy
2025-09-26 08:03:00,0.01,31.56,3.08,26,healthy
2025-09-26 08:03:06,103.89,399.3,38.99,208,healthy
2025-09-26 08:03:12,0.00,4.52,0.44,47,healthy
2025-09-26 08:03:18,8.95,31.73,3.10,24,healthy
